Source       Destination
---          ---
123-555-5353 123-555-2323
123-555-5353 123-555-4567
123-555-4567 123-555-5353
123-555-4567 123-555-6543
123-555-6993 123-555-1299
123-555-6543 123-555-4567
123-555-6543 123-555-9875
123-555-6993 123-555-9912
123-555-6543 123-555-7171
123-555-9875 123-555-8888
123-555-9875 123-555-9191
123-555-9191 123-555-4441
123-555-4441 123-555-9191
123-555-7171 123-555-9191
123-555-4441 123-555-7171
123-555-4567 123-555-6993
123-555-4567 123-555-1511
123-555-9191 123-555-5551
123-555-9191 123-555-5251
123-555-5251 123-555-1111
